FID,OBJECTID,name,lineName,name编号,new_id,new_line_name
0,1,金星广场,9路外环(1-1),1,0,9
1,2,景观小区,9路外环(1-1),2,1,9
2,3,安通路,9路外环(1-1),3,2,9
3,4,安乐村,9路外环(1-1),4,3,9
4,5,宏文市场,9路外环(1-1),5,4,9
5,6,昌落广场,9路外环(1-1),6,5,9
6,7,福慧学校,9路外环(1-1),7,6,9
7,8,民航站,9路外环(1-1),8,7,9
8,9,古城区政府,9路外环(1-1),9,8,9
9,10,丽江国际购物广场,9路外环(1-1),10,9,9
10,11,红太阳广场,9路外环(1-1),11,10,9
11,12,黑龙潭,9路外环(1-1),12,11,9
12,13,市妇幼保健站,9路外环(1-1),13,12,9
13,14,象山市场,9路外环(1-1),14,13,9
14,15,香格里拉大道,9路外环(1-1),15,14,9
15,16,金星广场,9路外环(1-1),1,0,9
16,17,金星广场,9路内环(1-1),1,0,9
17,18,香格里大道,9路内环(1-1),16,15,9
18,19,象山市场,9路内环(1-1),14,13,9
19,20,北郊转台,9路内环(1-1),17,16,9
20,21,市妇幼保健站,9路内环(1-1),13,12,9
21,22,黑龙潭,9路内环(1-1),12,11,9
22,23,红太阳广场,9路内环(1-1),11,10,9
23,24,市人民医院,9路内环(1-1),18,17,9
24,25,古城区政府,9路内环(1-1),9,8,9
25,26,民航站,9路内环(1-1),8,7,9
26,27,福慧学校,9路内环(1-1),7,6,9
27,28,昌洛广场,9路内环(1-1),19,18,9
28,29,宏文市场,9路内环(1-1),5,4,9
29,30,安乐村,9路内环(1-1),4,3,9
30,31,安通路,9路内环(1-1),3,2,9
31,32,景观小区,9路内环(1-1),2,1,9
32,33,金星广场,9路内环(1-1),1,0,9
33,34,丽江火车站,16路火车站专线(丽江火车站-古城区一中),20,19,16
34,35,北师大文理学院,16路火车站专线(丽江火车站-古城区一中),21,20,16
35,36,国家储备局,16路火车站专线(丽江火车站-古城区一中),22,21,16
36,37,玉龙县林业局,16路火车站专线(丽江火车站-古城区一中),23,22,16
37,38,天间教筑,16路火车站专线(丽江火车站-古城区一中),24,23,16
38,39,玉龙县政府,16路火车站专线(丽江火车站-古城区一中),25,24,16
39,40,玉龙县法院,16路火车站专线(丽江火车站-古城区一中),26,25,16
40,41,白玉园,16路火车站专线(丽江火车站-古城区一中),27,26,16
41,42,玉龙园,16路火车站专线(丽江火车站-古城区一中),28,27,16
42,43,玉龙中学,16路火车站专线(丽江火车站-古城区一中),29,28,16
43,44,集云村,16路火车站专线(丽江火车站-古城区一中),30,29,16
44,45,金龙村,16路火车站专线(丽江火车站-古城区一中),31,30,16
45,46,现云村,16路火车站专线(丽江火车站-古城区一中),32,31,16
46,47,丽江市行政中心,16路火车站专线(丽江火车站-古城区一中),丽江市行政中心,32,16
47,48,康仲村,16路火车站专线(丽江火车站-古城区一中),康仲村,33,16
48,49,市气象局,16路火车站专线(丽江火车站-古城区一中),市气象局,34,16
49,50,阿丹阁(香格里大道),16路火车站专线(丽江火车站-古城区一中),阿丹阁(16),35,16
50,51,七星街(香格里大道),16路火车站专线(丽江火车站-古城区一中),七星街(16),36,16
51,52,福慧市场,16路火车站专线(丽江火车站-古城区一中),福慧市场,37,16
52,53,高快客运站,16路火车站专线(丽江火车站-古城区一中),高快客运站,38,16
53,54,市中级法院,16路火车站专线(丽江火车站-古城区一中),市中级法院,39,16
54,55,香格里大道,16路火车站专线(丽江火车站-古城区一中),16,15,16
55,56,象山市场,16路火车站专线(丽江火车站-古城区一中),14,13,16
56,57,古城区一中,16路火车站专线(丽江火车站-古城区一中),古城区一中,40,16
57,58,玉龙县政府,4路火车站专线(玉龙县政府-古城区一中),25,24,4
58,59,玉龙县医院,4路火车站专线(玉龙县政府-古城区一中),玉龙县医院,41,4
59,60,上吉市场,4路火车站专线(玉龙县政府-古城区一中),上吉市场,42,4
